100,52    -0,848337658680975    -55,8172721862793
101,156    86,9437381625175    0,228881314396858
102,167    20,5666963011026    0,228881314396858
103,177    9,49002709239721    0,190815761685371
104,19    5,79745369032025    0,190815761685371
105,2    3,99212585762143    0,190815761685371
106,213    2,76126805692911    0,190815761685371
107,223    2,18784809112549    0,228881314396858
108,235    1,85912917368114    0,190815761685371
109,246    1,61337770987302    0,114684671163559
110,257    1,12082459963858    0,114684671163559
111,269    0,874022953212261    0,190815761685371
112,28    0,710188644006848    0,152750223875046
113,292    0,628271489404142    0,190815761685371
114,304    0,628271489404142    0,190815761685371
115,315    0,300602870993316    0,190815761685371
116,326    0,300602870993316    0,152750223875046
117,337    0,300602870993316    0,190815761685371
118,35    0,217635504668579    0,190815761685371
119,361    0,135718350065872    0,190815761685371
120,371    0,217635504668579    0,190815761685371
121,381    0,135718350065872    0,152750223875046
122,394    0,135718350065872    0,190815761685371
123,405    -0,0281159445876256    0,152750223875046
124,417    0,0538012063771021    0,190815761685371
125,427    -0,0281159445876256    0,190815761685371
126,439    -0,0281159445876256    0,190815761685371
127,451    -0,110033091914374    0,190815761685371
128,461    -0,110033091914374    0,190815761685371
129,474    -0,191950239241123    0,152750223875046
130,484    -0,191950239241123    0,190815761685371
131,496    -0,191950239241123    0,266946852207184
132,507    -0,27386739384383    0,190815761685371
133,519    -0,191950239241123    0,152750223875046
134,531    -0,191950239241123    0,228881314396858
135,542    -0,27386739384383    0,114684671163559
136,553    -0,27386739384383    0,228881314396858
137,564    -0,355784548446536    0,228881314396858
138,576    -0,27386739384383    0,190815761685371
139,587    -0,27386739384383    0,190815761685371
140,6    -0,355784548446536    0,190815761685371
141,609    -0,27386739384383    0,266946852207184
142,622    -0,191950239241123    0,190815761685371
143,632    -0,355784548446536    0,266946852207184
144,643    -0,355784548446536    0,266946852207184
145,655    -0,27386739384383    0,190815761685371
146,667    -0,27386739384383    0,190815761685371
147,679    -0,602586194872856    0,190815761685371
148,69    -0,27386739384383    0,190815761685371
149,701    -0,27386739384383    0,228881314396858
150,712    -0,438751914771274    0,190815761685371
151,724    -0,27386739384383    0,190815761685371
152,736    -0,438751914771274    0,228881314396858
153,746    -0,355784548446536    0,190815761685371
154,759    -0,438751914771274    0,152750223875046
155,769    -0,438751914771274    0,190815761685371
156,783    -0,355784548446536    0,266946852207184
157,792    -0,438751914771274    0,266946852207184
158,805    -0,438751914771274    0,190815761685371
159,815    -0,27386739384383    0,190815761685371
160,827    -0,438751914771274    0,190815761685371
161,838    -0,438751914771274    0,152750223875046
162,849    -0,438751914771274    0,190815761685371
163,86    -0,438751914771274    0,190815761685371
164,871    -0,438751914771274    0,190815761685371
165,883    -0,438751914771274    0,114684671163559
166,895    -0,438751914771274    0,190815761685371
167,907    -0,438751914771274    0,152750223875046
168,918    -0,52066904027015    0,190815761685371
169,93    -0,438751914771274    0,190815761685371
170,941    -0,52066904027015    0,190815761685371
171,951    -0,684503349475563    0,114684671163559
172,964    -0,438751914771274    0,190815761685371
173,974    -0,52066904027015    0,190815761685371
174,987    -0,52066904027015    0,228881314396858
175,997    -0,438751914771274    0,190815761685371
177,009    -0,602586194872856    0,190815761685371
178,02    -0,438751914771274    0,152750223875046
179,032    -0,602586194872856    0,190815761685371
180,042    -0,438751914771274    0,114684671163559
181,053    -0,602586194872856    0,152750223875046
182,065    -0,602586194872856    0,152750223875046
183,076    -0,602586194872856    0,114684671163559
184,087    -0,684503349475563    0,228881314396858
185,098    -0,602586194872856    0,190815761685371
186,111    -0,602586194872856    0,152750223875046
187,121    -0,602586194872856    0,190815761685371
188,133    -0,602586194872856    0,190815761685371
189,144    -0,602586194872856    0,228881314396858
190,155    -0,602586194872856    0,228881314396858
191,167    -0,602586194872856    0,190815761685371
192,178    -0,602586194872856    0,190815761685371
193,19    -0,602586194872856    0,228881314396858
194,201    -0,684503349475563    0,152750223875046
195,213    -0,602586194872856    0,190815761685371
196,224    -0,602586194872856    0,190815761685371
197,236    -0,684503349475563    0,190815761685371
198,247    -0,684503349475563    0,190815761685371
199,259    -0,602586194872856    0,228881314396858
200,269    -0,602586194872856    0,228881314396858
