"sec"	µA	"mV"
261.945	0	49.7555770874023
262.956	0	-82.8872451782227
263.968	0	-61.4978218078613
264.979	0	12.8105211257935
265.991	0	-8.23533535003662
267.002	0	-56.2364807128906
268.013	0	-17.5760345458984
269.025	0	-57.647346496582
270.036	0	-108.660552978516
271.048	0	18.0723514556885
272.059	0	11.8193531036377
273.071	0	-72.4402008056641
274.082	0	-53.4913673400879
275.094	0	-107.364372253418
276.105	0	-85.8988189697266
277.116	0	-114.989677429199
278.128	0	-15.5556335449219
279.139	0	7.73999500274658
280.15	0	-124.712013244629
281.161	0	-4.84213304519653
282.173	0	-24.2101764678955
283.184	0	-35.9148445129395
284.196	0	-51.0893363952637
285.207	0	-26.1544494628906
286.219	0	-92.1898803710938
287.23	0	-114.455787658691
288.241	0	22.5328521728516
289.253	0	3.92709589004517
290.264	0	-65.8446197509766
291.276	0	-63.9379234313965
292.287	0	-51.4324150085449
293.299	0	-75.1472473144531
294.31	0	-0.457274615764618
295.321	0	27.6038665771484
296.333	0	-103.818420410156
297.344	0	-75.1091842651367
298.356	0	-22.9520626068115
299.367	0	-35.7245178222656
300.377	0	-39.8038749694824
301.388	0	3.01205849647522
302.4	0	-104.809585571289
303.411	0	-112.587646484375
304.422	0	-41.1000556945801
305.434	0	-178.35612487793
306.445	0	-200.965118408203
307.457	0	-95.0877456665039
308.469	0	-135.615844726563
309.481	0	-154.221603393555
310.492	0	-36.143726348877
311.503	0	-62.5656089782715
312.514	0	-129.249130249023
313.525	0	-105.229286193848
314.538	0	-74.6899795532227
315.548	0	-127.571319580078
316.56	0	-17.6141014099121
317.571	0	-6.06218290328979
318.583	0	-26.0783176422119
319.594	0	-89.558967590332
320.606	0	-68.8947372436523
321.616	0	-61.4216918945313
322.628	0	-36.0675964355469
323.64	0	-11.9335498809814
324.651	0	13.039402961731
325.663	0	-121.85221862793
326.674	0	-109.003631591797
327.686	0	-51.2040214538574
328.697	0	-72.9740982055664
329.708	0	-78.8073959350586
330.72	0	-46.0568733215332
331.731	0	-155.213256835938
332.743	0	-146.672912597656
333.754	0	-27.4891834259033
334.766	0	-57.6854133605957
335.777	0	-92.9526519775391
336.788	0	-105.877372741699
337.8	0	-2.21121788024902
338.811	0	-61.0405502319336
339.822	0	43.7695236206055
340.833	0	18.5296268463135
341.844	0	-79.1885452270508
342.855	0	-61.7647705078125
343.867	0	-45.5610466003418
344.878	0	-76.6342468261719
345.89	0	23.9056529998779
346.901	0	274.778594970703
347.914	0	26.612699508667
348.925	0	-10.9038276672363
349.936	0	7.39691686630249
350.947	0	-33.3986167907715
351.958	0	-40.0327568054199
352.97	0	-17.7668514251709
353.981	0	-147.320999145508
354.993	0	-149.379959106445
356.004	0	-47.086109161377
357.016	0	-69.3900833129883
358.028	0	-85.7846221923828
359.037	0	-62.9848213195801
360.049	0	-33.0174713134766
361.06	0	-156.356689453125
362.071	0	-25.9260559082031
363.082	0	-52.309383392334
364.095	0	-70.1528549194336
365.106	0	-84.1834259033203
366.118	0	-48.3061599731445
367.128	0	-147.931015014648
368.139	0	-157.081390380859
369.151	0	-38.3549461364746
370.163	0	-62.3367309570313
371.174	0	-94.8969268798828
372.186	0	-69.4281463623047
373.198	0	-123.720352172852
374.208	0	-150.752258300781
375.22	0	-15.1740016937256
376.232	0	-41.5958862304688
377.242	0	-102.941444396973
378.254	0	-84.9076461791992
379.264	0	-90.4359359741211
380.277	0	-126.389335632324
381.288	0	-16.3559856414795
382.299	0	-16.6609973907471
383.311	0	-107.516632080078
384.323	0	-79.3793563842773
385.334	0	-51.3562812805176
386.345	0	-76.786506652832
387.356	0	-3.88854217529297
388.367	0	19.5974140167236
389.38	0	-109.99479675293
390.39	0	-76.8631286621094
391.402	0	-23.2190093994141
392.413	0	-41.7867012023926
393.425	0	-69.6950912475586
394.436	0	2.13508701324463
