"sec"	µA	"mV"
1018.643	3.50062293000519	81.4002456665039
1018.743	3.82829131558537	81.3241195678711
1018.843	3.66445723921061	81.3241195678711
1018.943	3.82829131558537	81.3621826171875
1019.043	3.66445723921061	81.4768676757813
1019.142	3.66445723921061	81.3241195678711
1019.242	3.58253996819258	81.591064453125
1019.342	3.58253996819258	81.5149307250977
1019.442	3.50062293000519	81.5149307250977
1019.542	3.41765535995364	81.6291275024414
1019.643	3.50062293000519	81.6671981811523
1019.743	3.66445723921061	81.6291275024414
1019.843	3.58253996819258	81.5530014038086
1019.943	3.66445723921061	81.6291275024414
1020.042	3.33573832176626	81.6291275024414
1020.142	3.41765535995364	81.7052612304688
1020.242	3.66445723921061	81.6671981811523
1020.342	3.58253996819258	81.7052612304688
1020.441	3.66445723921061	81.7052612304688
1020.541	3.58253996819258	81.8580093383789
1020.643	3.66445723921061	81.7818832397461
1020.743	3.58253996819258	81.8960800170898
1020.843	3.25382105074823	81.9341430664063
1020.943	3.58253996819258	81.8960800170898
1021.043	3.33573832176626	82.0868911743164
1021.142	3.33573832176626	82.0102767944336
1021.242	3.33573832176626	82.0868911743164
1021.342	3.66445723921061	81.9722061157227
1021.442	3.58253996819258	81.9722061157227
1021.542	3.50062293000519	82.0868911743164
1021.643	3.58253996819258	82.0102767944336
1021.743	3.58253996819258	82.1630249023438
1021.843	3.33573832176626	82.2010879516602
1021.943	3.41765535995364	82.2010879516602
1022.043	3.58253996819258	82.2010879516602
1022.143	3.58253996819258	82.3152847290039
1022.243	3.58253996819258	82.3533554077148
1022.343	3.50062293000519	82.4299697875977
1022.443	3.58253996819258	82.4299697875977
1022.542	3.41765535995364	82.3533554077148
1022.642	3.41765535995364	82.3919067382813
1022.744	3.41765535995364	82.5441665649414
1022.844	3.33573832176626	82.5822296142578
1022.944	3.41765535995364	82.506103515625
1023.044	3.58253996819258	82.5441665649414
1023.143	3.58253996819258	82.506103515625
1023.243	3.41765535995364	82.5441665649414
1023.343	3.58253996819258	82.6583633422852
1023.443	3.74637427739799	82.6969146728516
1023.543	3.58253996819258	82.7349853515625
1023.643	3.66445723921061	82.7349853515625
1023.744	3.58253996819258	82.8491821289063
1023.844	3.50062293000519	82.6969146728516
1023.944	3.41765535995364	82.8491821289063
1024.044	3.58253996819258	82.9253082275391
1024.144	3.58253996819258	82.8872451782227
1024.244	3.41765535995364	83.0019302368164
1024.344	3.99212585762143	83.0399932861328
1024.444	3.33573832176626	83.0019302368164
1024.543	3.33573832176626	82.96337890625
1024.643	3.41765535995364	82.96337890625
1024.745	3.33573832176626	82.9253082275391
1024.845	3.41765535995364	82.9253082275391
1024.945	3.25382105074823	83.0019302368164
1025.045	3.17190401256084	83.0399932861328
1025.144	3.33573832176626	83.1541900634766
1025.244	3.33573832176626	83.1922607421875
1025.344	3.58253996819258	83.1161270141602
1025.444	3.17190401256084	83.2683868408203
1025.544	3.33573832176626	83.3450088500977
1025.644	3.17190401256084	83.3830718994141
1025.745	3.33573832176626	83.421142578125
1025.845	3.25382105074823	83.3450088500977
1025.945	3.33573832176626	83.5734024047852
1026.045	3.25382105074823	83.4972686767578
1026.145	3.33573832176626	83.4972686767578
1026.245	3.41765535995364	83.4972686767578
1026.345	3.41765535995364	83.5353393554688
1026.445	3.33573832176626	83.4592056274414
1026.545	3.41765535995364	83.4972686767578
1026.644	3.41765535995364	83.5353393554688
1026.746	3.33573832176626	83.5353393554688
1026.846	3.33573832176626	83.5734024047852
1026.946	3.74637427739799	83.5734024047852
1027.046	3.66445723921061	83.7261505126953
1027.146	3.41765535995364	83.7261505126953
1027.245	3.41765535995364	83.6500244140625
1027.345	3.41765535995364	83.7642135620117
1027.445	3.33573832176626	83.7642135620117
1027.545	3.41765535995364	83.8022842407227
1027.645	3.58253996819258	83.8784103393555
1027.747	3.66445723921061	83.9169692993164
1027.846	3.41765535995364	83.9550323486328
1027.946	3.41765535995364	83.8784103393555
1028.046	3.41765535995364	83.8784103393555
1028.146	3.33573832176626	83.9550323486328
1028.246	3.41765535995364	83.9930953979492
1028.346	3.41765535995364	84.0311660766602
1028.446	3.41765535995364	84.0692291259766
1028.546	3.33573832176626	84.107292175293
1028.646	3.33573832176626	84.0692291259766
1028.747	3.25382105074823	84.1453628540039
1028.847	3.58253996819258	84.2219772338867
1028.947	3.58253996819258	84.2600479125977
1029.047	3.41765535995364	84.2219772338867
1029.147	3.41765535995364	84.2219772338867
1029.247	3.17190401256084	84.1834259033203
1029.346	3.33573832176626	84.2219772338867
1029.446	3.41765535995364	84.2600479125977
1029.546	3.41765535995364	84.3742446899414
1029.646	3.33573832176626	84.2981109619141
1029.748	3.58253996819258	84.3742446899414
1029.848	3.58253996819258	84.3742446899414
1029.947	3.33573832176626	84.5269927978516
1030.047	3.66445723921061	84.5269927978516
1030.147	3.33573832176626	84.6411895751953
1030.247	3.41765535995364	84.4503707885742
1030.347	3.50062293000519	84.6792526245117
1030.447	3.74637427739799	84.6031265258789
1030.547	3.66445723921061	84.6411895751953
1030.647	3.41765535995364	84.565055847168
1030.748	3.66445723921061	84.6792526245117
1030.848	3.41765535995364	84.7553863525391
1030.948	3.58253996819258	84.7173233032227
1031.048	3.41765535995364	84.7553863525391
1031.148	3.74637427739799	84.8700714111328
1031.248	3.33573832176626	84.9081344604492
1031.347	3.74637427739799	84.9462051391602
1031.447	3.66445723921061	84.8700714111328
1031.547	3.41765535995364	84.9462051391602
1031.647	3.33573832176626	84.9842681884766
1031.747	3.50062293000519	84.9462051391602
1031.849	3.33573832176626	84.9462051391602
