sec"    "µA"    "mV
217,464    0    109,804954528809
218,475    0    109,804954528809
219,486    0    109,881088256836
220,498    0    109,804954528809
221,51    0    109,652206420898
222,52    0    109,614143371582
223,532    0    109,652206420898
224,543    0    109,499946594238
225,554    0    109,652206420898
226,566    0    109,652206420898
227,577    0    109,538009643555
228,589    0    109,423324584961
229,6    0    109,385261535645
230,61    0    109,461387634277
231,622    0    109,347190856934
232,634    0    109,347190856934
233,645    0    109,347190856934
234,657    0    109,271064758301
235,668    0    109,347190856934
236,68    0    109,233001708984
237,691    0    109,271064758301
238,702    0    109,118316650391
239,715    0    109,08024597168
240,724    0    108,966049194336
241,735    0    108,92798614502
242,748    0    108,889923095703
243,759    0    108,889923095703
244,77    0    109,004119873047
245,781    0    108,92798614502
246,793    0    108,92798614502
247,803    0    108,92798614502
248,816    0    108,851364135742
249,827    0    108,775238037109
250,837    0    108,737167358398
251,849    0    108,775238037109
252,861    0    108,813301086426
253,872    0    108,699104309082
254,883    0    108,775238037109
255,896    0    108,584907531738
256,907    0    108,508285522461
257,917    0    108,584907531738
258,93    0    108,508285522461
259,94    0    108,546356201172
260,952    0    108,508285522461
261,964    0    108,508285522461
262,976    0    108,470222473145
263,987    0    108,203277587891
264,997    0    108,317962646484
266,008    0    108,279891967773
267,019    0    108,051010131836
268,031    0    108,203277587891
269,043    0    108,089080810547
270,054    0    108,01294708252
271,065    0    107,974884033203
272,077    0    108,089080810547
273,089    0    108,127143859863
274,1    0    108,01294708252
275,112    0    108,01294708252
276,123    0    107,784065246582
277,135    0    107,936332702637
278,146    0    107,936332702637
279,158    0    107,822135925293
280,169    0    107,707939147949
281,181    0    107,784065246582
282,191    0    107,631317138672
283,204    0    107,631317138672
284,214    0    107,669868469238
285,224    0    107,631317138672
286,236    0    107,631317138672
287,247    0    107,631317138672
288,259    0    107,479057312012
289,27    0    107,555183410645
290,282    0    107,479057312012
291,293    0    107,364860534668
292,305    0    107,402923583984
293,316    0    107,440986633301
294,327    0    107,364860534668
295,339    0    107,212104797363
296,35    0    107,364860534668
297,362    0    107,364860534668
298,373    0    107,09790802002
299,385    0    107,059844970703
300,395    0    107,13597869873
300,759    -0,848337658680975    107,059844970703
301,407    -164,288803935051    0,114684671163559
302,418    -53,0316643416882    0,114684671163559
303,43    -33,2581214606762    0,190815761685371
304,44    -24,3144501000643    0,0766191184520721
305,452    -18,4888802468777    0,0766191184520721
306,463    -14,6324736997485    0,0766191184520721
307,474    -11,9250062853098    0,152750223875046
308,486    -10,2845635265112    0,114684671163559
309,497    -8,72498657554388    0,114684671163559
310,509    -7,41221196949482    0,114684671163559
311,52    -6,83774147182703    0,114684671163559
312,532    -6,26327143982053    0,152750223875046
313,543    -5,606884136796    0,190815761685371
314,555    -5,27921551838517    0,114684671163559
315,566    -4,95049636811018    0,152750223875046
316,577    -4,54091094434261    0,0766191184520721
317,589    -4,45899367332458    0,0766191184520721
318,6    -4,21219179406762    0,0766191184520721
319,612    -4,13027498871088    0,190815761685371
320,623    -3,96644044667482    0,0766191184520721
321,635    -3,88452340848744    0,114684671163559
322,646    -3,63772176206112    0,152750223875046
323,658    -3,55580449104309    0,114684671163559
324,668    -3,55580449104309    0,0766191184520721
325,679    -3,47388745285571    0,0766191184520721
326,691    -3,31005314365029    0,114684671163559
327,702    -3,47388745285571    0,152750223875046
328,714    -3,06430156342685    0,0766191184520721
329,725    -3,31005314365029    0,114684671163559
330,737    -3,06430156342685    0,0766191184520721
331,748    -3,31005314365029    0,152750223875046
332,76    -2,98133422620595    0,114684671163559
333,771    -2,89941718801856    0,0766191184520721
334,782    -3,14621883444488    0,152750223875046
335,794    -2,98133422620595    0,114684671163559
336,805    -2,98133422620595    0,114684671163559
337,817    -2,98133422620595    0,114684671163559
338,828    -2,89941718801856    0,0766191184520721
339,84    -2,65366560779512    0,152750223875046
340,851    -2,65366560779512    0,0766191184520721
341,863    -2,89941718801856    0,114684671163559
342,874    -2,57174856960773    0,0766191184520721
343,884    -2,73558287881315    0,0766191184520721
344,896    -2,65366560779512    0,114684671163559
345,907    -2,65366560779512    0,0380655489861965
346,919    -2,40791426040232    0,152750223875046
347,931    -2,65366560779512    0,152750223875046
348,942    -2,32494692318141    0,114684671163559
349,954    -2,24302965216339    0,114684671163559
350,965    -2,73558287881315    0,114684671163559
351,976    -2,32494692318141    0,152750223875046
352,988    -2,57174856960773    0,190815761685371
354    -2,07919534295797    0,114684671163559
355,01    -2,24302965216339    0,114684671163559
356,022    -1,83344387914985    0,190815761685371
357,033    -1,99727830477059    0,0766191184520721
358,046    -2,32494692318141    0,114684671163559
359,057    -1,99727830477059    0,190815761685371
360,067    -2,48983129858971    0,190815761685371
361,078    -1,91536103375256    0,0766191184520721
362,09    -1,83344387914985    0,114684671163559
363,1    -1,99727830477059    0,190815761685371
364,111    -2,24302965216339    0,152750223875046
365,124    -2,07919534295797    0,152750223875046
366,135    -1,91536103375256    0,190815761685371
367,147    -2,07919534295797    0,0766191184520721
368,158    -2,65366560779512    0,190815761685371
369,169    -1,91536103375256    0,114684671163559
370,18    -1,91536103375256    0,190815761685371
371,191    -1,91536103375256    0,190815761685371
372,203    -1,58664223272353    0,190815761685371
373,215    -2,40791426040232    0,0766191184520721
374,227    -1,83344387914985    0,152750223875046
375,237    -2,57174856960773    0,114684671163559
376,25    -1,99727830477059    0,152750223875046
377,261    -2,161112613976    0,114684671163559
378,272    -1,91536103375256    0,152750223875046
379,283    -1,75152672454715    0,0766191184520721
380,294    -1,66855938732624    0,0766191184520721
381,307    -1,75152672454715    0,152750223875046
382,318    -2,32494692318141    0,190815761685371
383,329    -1,66855938732624    0,114684671163559
384,34    -2,24302965216339    0,190815761685371
385,352    -1,75152672454715    0,114684671163559
386,362    -2,73558287881315    0,152750223875046
387,373    -1,66855938732624    0,114684671163559
388,386    -2,24302965216339    0,0766191184520721
389,397    -1,99727830477059    0,0380655489861965
390,409    -1,75152672454715    0,114684671163559
391,42    -2,161112613976    0,190815761685371
392,432    -1,50472507812083    0,152750223875046
393,442    -1,0951393051073    0,190815761685371
394,455    -1,50472507812083    0,228881314396858
395,466    -1,91536103375256    0,0766191184520721
396,476    -2,40791426040232    0,152750223875046
397,489    -1,99727830477059    0,114684671163559
398,5    -1,99727830477059    0,114684671163559
399,512    -1,58664223272353    0,114684671163559
400,523    -1,0951393051073    0,152750223875046
401,535    -1,66855938732624    0,114684671163559
402,545    -2,07919534295797    0,114684671163559
403,556    -1,58664223272353    0,152750223875046
